YEAR,POUNDS GRADED,PRIME,%,CHOICE,%,SELECT,%,STNDRD,%,COMRCL,%,UTILITY,%,CUTTER,%,CANNER,%,S/H,"%  of FEDERAL  SLAUGHTER	 BEEF",Y1,%,Y2,%,Y3,%,Y4,%,Y5,%
1930,69,,,,,,,,,,,,,,,,,,1.20%,,,,,,,,,,
1931,159,,,,,,,,,,,,,,,,,,2.70%,,,,,,,,,,
1932,208,,,,,,,,,,,,,,,,,,3.80%,,,,,,,,,,
1933,238,,,,,,,,,,,,,,,,,,3.90%,,,,,,,,,,
1934,262,,,,,,,,,,,,,,,,,,3.30%,,,,,,,,,,
1935,268,,,,,,,,,,,,,,,,,,4.20%,,,,,,,,,,
1936,450,,,,,,,,,,,,,,,,,,6.30%,,,,,,,,,,
1937,408,,,,,,,,,,,,,,,,,,6.20%,,,,,,,,,,
1938,598,27,4.50%,283,47.30%,187,31.30%,,,54.00,9.00%,34,5.70%,11,1.80%,2,0.33%,,9.00%,,,,,,,,,,
1939,509,10,2.00%,232,45.60%,176,34.60%,,,55.00,10.80%,29,5.70%,6,1.20%,1,0.20%,,7.50%,,,,,,,,,,
1940,579,12,2.10%,230,39.70%,234,40.40%,,,69.00,11.90%,25,4.30%,7,1.20%,2,0.35%,,8.30%,,,,,,,,,,
1941,789,13,1.60%,308,39.00%,344,43.60%,,,86.00,10.90%,26,3.30%,9,1.10%,3,0.38%,,10.10%,,,,,,,,,,
1942,1478,,,439,29.70%,560,37.90%,,,284.00,19.20%,173,11.70%,15,1.00%,7,0.47%,,17.30%,,,,,,,,,,
1943,6691,,,1297,19.40%,2081,31.10%,,,1544.00,23.10%,984,14.70%,785,11.70%,,,,80.80%,,,,,,,,,,
1944,8328,,,865,10.40%,2329,28.00%,,,2104.00,25.30%,1560,18.70%,1470,17.70%,,,,94.90%,,,,,,,,,,
1945,9067,,,1258,13.90%,2791,30.80%,,,2421.00,26.70%,1506,16.60%,1091,12.00%,,,,92.40%,,,,,,,,,,
1946,6681,,,1049,15.70%,2512,37.60%,,,1710.00,25.60%,869,13.00%,541,8.10%,,,,76.00%,,,,,,,,,,
1947,2932,6,0.20%,305,10.40%,1536,52.40%,,,695.00,23.70%,252,8.60%,138,4.70%,,,,29.00%,,,,,,,,,,
1948,2022,,,,,,,,,,,,,,,,,,23.10%,,,,,,,,,,
1949,2280,,,,,,,,,,,,,,,,,,24.90%,,,,,,,,,,
1950,2262,,,,,,,,,,,,,,,,,,24.50%,,,,,,,,,,
1951,6250,,,,,,,,,,,,,,,,,,73.10%,,,,,,,,,,
1952,8784,,,,,,,,,,,,,,,,,,94.10%,,,,,,,,,,
1953,6529,,,,,,,,,,,,,,,,,,54.20%,,,,,,,,,,
1954,5708,,,,,,,,,,,,,,,,,,45.30%,,,,,,,,,,
1955,6050,,,,,,,,,,,,,,,,,,45.80%,,,,,,,,,,
1956,6989,401,5.70%,3994,57.10%,1843,26.40%,153,2.19%,249.00,3.56%,300,4.29%,39,0.56%,10,0.14%,,49.60%,,,,,,,,,,
1957,6943,366,5.30%,4097,59.00%,1883,27.10%,263,3.79%,115.00,1.66%,174,2.51%,37,0.53%,8,0.12%,,50.10%,,,,,,,,,,
1958,6449,231,3.60%,3998,62.00%,1847,28.60%,190,2.95%,72.00,1.12%,77,1.19%,29,0.45%,5,0.08%,,49.60%,,,,,,,,,,
1959,6728,191,2.80%,4445,66.10%,1776,26.40%,170,2.53%,55.00,0.82%,77,1.14%,12,0.18%,2,0.03%,,50.80%,,,,,,,,,,
1960,7058,199,2.80%,4660,66.00%,1773,25.10%,199,2.82%,57.00,0.81%,156,2.21%,12,0.17%,2,0.03%,,49.10%,,,,,,,,,,
1961,7439,260,3.50%,5149,69.20%,1590,21.40%,202,2.72%,45.00,0.60%,145,1.95%,45,0.60%,3,0.04%,,49.80%,,,,,,,,,,
1962,7400,243,3.30%,5135,69.40%,1620,21.90%,192,2.59%,55.00,0.74%,125,1.69%,28,0.38%,2,0.03%,,49.60%,,,,,,,,,,
1963,8312,306,3.70%,6040,72.70%,1616,19.40%,170,2.05%,37.00,0.45%,120,1.44%,21,0.25%,2,0.02%,,51.80%,,,,,,,,,,
1964,10053,439,4.40%,7215,71.80%,1756,17.50%,204,2.03%,38.00,0.38%,184,1.83%,214,2.13%,3,0.03%,,55.70%,,,,,,,,,,
1965,10295,611,5.90%,7577,73.60%,1593,15.50%,188,1.83%,57.00,0.55%,195,1.89%,73,0.71%,1,0.01%,,58.10%,,,,,,,,,,
1966,12037,770,6.40%,9158,76.10%,1742,14.50%,125,1.04%,50.00,0.42%,150,1.25%,42,0.35%,,,,61.80%,,,,,,,,,,
1967,12729,919,7.20%,9774,76.80%,1758,13.80%,93,0.73%,35.00,0.27%,125,0.98%,25,0.20%,,,,63.70%,10,0.90%,403,35.40%,706,62.00%,19,1.67%,1,0.09%
1968,13081,889,6.80%,10181,77.80%,1717,13.10%,75,0.57%,39.00,0.30%,165,1.26%,15,0.11%,,,,63.30%,17,0.70%,776,33.80%,"1,467",64.00%,31,1.35%,2,0.09%
1969,13385,911,6.80%,10382,77.60%,1727,12.90%,75,0.56%,43.00,0.32%,222,1.66%,25,0.19%,,,,63.90%,26,1.00%,949,37.30%,"1,542",60.60%,24,0.94%,3,0.12%
1970,13927,949,6.80%,11082,79.60%,1649,11.80%,54,0.39%,33.00,0.24%,150,1.08%,10,0.07%,,,,64.90%,35,1.00%,"1,154",32.70%,"2,316",65.60%,24,0.68%,2,0.06%
1971,13955,847,6.10%,11173,80.10%,1709,12.20%,58,0.42%,21.00,0.15%,138,0.99%,8,0.06%,1,0.01%,,64.30%,     (FIGURES NOT AVAILABLE),,,,,,,,,
1972,13565,801,5.90%,10951,80.70%,1683,12.40%,31,0.23%,11.00,0.08%,81,0.60%,7,0.05%,,,,61.10%,31,0.50%,"1,612",26.20%,"4,365",71.00%,132,2.10%,12,0.20%
1973,12142,745,6.10%,9776,80.50%,1489,12.30%,25,0.21%,15.00,0.12%,83,0.68%,8,0.07%,1,0.01%,,57.60%,52,0.70%,"1,984",27.40%,"4,907",67.90%,255,3.50%,33,0.46%
1974,12403,779,6.30%,9849,79.40%,1444,11.60%,42,0.34%,38.00,0.31%,237,1.91%,14,0.11%,,,,54.30%,71,0.80%,"2,175",25.10%,"5,829",67.30%,516,6.00%,75,0.87%
1975,10266,528,5.10%,7936,77.30%,1321,12.90%,72,0.70%,39.00,0.38%,317,3.09%,52,0.51%,1,0.01%,,43.40%,151,1.70%,"2,809",31.10%,"5,746",63.60%,296,3.30%,27,0.30%
1976,13909,"1,369",9.80%,11062,79.50%,895,6.40%,58,0.42%,85.00,0.61%,365,2.62%,74,0.53%,1,0.01%,,54.10%,227,2.10%,"2,295",20.80%,"6,900",62.40%,"1,426",12.90%,210,1.90%
1977,13990,"1,194",8.50%,11661,83.40%,722,5.20%,38,0.27%,86.00,0.61%,267,1.91%,22,0.16%,,,,55.90%,335,2.40%,"4,306",30.90%,"7,982",57.30%,"1,156",8.30%,155,1.11%
1978,13551,826,6.10%,11854,87.50%,643,4.70%,28,0.21%,47.00,0.35%,141,1.04%,12,0.09%,,,,59.50%,294,2.20%,"4,120",30.40%,"7,906",58.30%,"1,103",8.10%,129,0.95%
1979,11986,730,6.10%,10671,89.00%,490,4.10%,19,0.16%,18.00,0.15%,52,0.43%,5,0.04%,1,0.01%,,57.60%,214,1.80%,"3,470",29.00%,"7,044",58.80%,"1,115",9.30%,142,1.18%
1980,12137,722,5.90%,10800,89.00%,516,4.30%,26,0.21%,19.00,0.16%,50,0.41%,3,0.02%,1,0.01%,,56.80%,199,1.60%,"3,502",28.90%,"7,087",58.40%,"1,179",9.70%,170,1.40%
1981,12118,624,5.10%,10954,90.40%,431,3.60%,16,0.13%,19.00,0.16%,67,0.55%,6,0.05%,1,0.01%,,54.60%,229,1.90%,"3,671",30.30%,"6,928",57.20%,"1,140",9.40%,149,1.23%
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,12122,472,3.90%,11152,92.00%,423,3.50%,13,0.11%,13.00,0.11%,48,0.40%,1,0.01%,,,67.60%,54.70%,275,2.30%,"4,221",34.80%,"6,672",55.00%,856,7.10%,97,0.80%
1984,11686,363,3.10%,10829,92.70%,430,3.70%,12,0.10%,8.00,0.07%,43,0.37%,1,0.01%,,,65.10%,53.30%,406,3.50%,"4,923",42.10%,"5,767",49.30%,550,4.70%,40,0.34%
1985,12776,457,3.60%,11875,92.90%,386,3.00%,11,0.09%,8.00,0.06%,35,0.27%,4,0.03%,,,68.50%,57.60%,461,3.60%,"5,195",40.70%,"6,387",50.00%,667,5.20%,63,0.49%
1986,9786,325,3.30%,9155,93.60%,277,2.80%,5,0.05%,2.00,0.02%,20,0.20%,2,0.02%,,,69.00%,51.50%,385,3.90%,"4,066",41.70%,"4,768",48.80%,497,5.10%,45,0.46%
1987,12127,382,3.10%,11462,94.50%,265,2.20%,2,0.02%,1.00,0.01%,15,0.12%,,,,,64.30%,54.00%,447,3.70%,"5,039",41.60%,"5,982",49.40%,592,4.90%,52,0.43%
1988,12567,379,3.00%,11597,92.30%,579,4.60%,2,0.02%,,,10,0.08%,,,,,66.00%,56.40%,455,3.60%,"5,045",40.20%,"6,270",49.90%,716,5.70%,70,0.56%
1989,12890,335,2.60%,11105,86.20%,1433,11.10%,1,0.01%,1.00,0.01%,11,0.09%,3,0.02%,1,0.01%,78.40%,66.90%,786,5.20%,"6,403",42.70%,"7,097",47.30%,644,4.30%,60,0.40%
1990,12345,255,2.10%,10172,82.40%,1906,15.40%,,,1.00,0.01%,11,0.09%,,,,,86.70%,74.30%,"1,164",7.50%,"7,133",45.70%,"6,799",43.50%,480,3.10%,38,0.24%
1991,12919,289,2.20%,10193,78.90%,2427,18.80%,,,1.00,0.01%,9,0.07%,,,,,92.40%,79.80%,"1,347",8.10%,"7,363",44.00%,"7,355",44.00%,611,3.70%,55,0.33%
1992,13816,286,2.10%,10315,74.70%,3203,23.20%,4,0.03%,1.00,0.01%,7,0.05%,,,,,95.20%,84.50%,"1,566",9.10%,"7,898",46.00%,"7,160",41.70%,491,2.90%,39,0.23%
